altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,0,13,Chicago,29,True,True,Chicago,2021-08-31 12:53:55,41.90068,Chicago,-87.6626,60602,Chicago,Chicago,Noble St & Milwaukee Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,1,14,Chicago,30,True,True,Chicago,2021-08-31 13:14:06,41.899643,Chicago,-87.6677,60602,Chicago,Chicago,Ashland Ave & Augusta Blvd,IN_SERVICE,1,IN_SERVICE,False,15
0.0,1,22,Chicago,31,True,True,Chicago,2021-08-31 13:16:36,41.896746973093805,Chicago,-87.63566762208939,60602,Chicago,Chicago,Franklin St & Chicago Ave,IN_SERVICE,1,IN_SERVICE,False,23
0.0,1,18,Chicago,32,True,True,Chicago,2021-08-31 13:18:08,41.87464,Chicago,-87.65703,60602,Chicago,Chicago,Racine Ave & Congress Pkwy,IN_SERVICE,1,IN_SERVICE,False,19
0.0,15,12,Chicago,33,True,True,Chicago,2021-08-31 12:47:37,41.877181,Chicago,-87.627844,60602,Chicago,Chicago,State St & Van Buren St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,8,7,Chicago,34,True,True,Chicago,2021-08-31 13:07:13,41.9267559875,Chicago,-87.6344287848,60602,Chicago,Chicago,Cannon Dr & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,8,35,Chicago,35,True,True,Chicago,2021-08-31 13:19:14,41.892278,Chicago,-87.612043,60602,Chicago,Chicago,Streeter Dr & Grand Ave,IN_SERVICE,1,IN_SERVICE,False,47
0.0,8,31,Chicago,36,True,True,Chicago,2021-08-31 12:58:53,41.8777079559,Chicago,-87.6353211408,60602,Chicago,Chicago,Franklin St & Jackson Blvd,IN_SERVICE,1,IN_SERVICE,False,39
0.0,4,15,Chicago,37,True,True,Chicago,2021-08-31 13:17:37,41.8793563587,Chicago,-87.6297910363,60602,Chicago,Chicago,Dearborn St & Adams St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,5,21,Chicago,38,True,True,Chicago,2021-08-31 12:47:19,41.88602082773,Chicago,-87.6308760584,60602,Chicago,Chicago,Clark St & Lake St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,11,12,Chicago,39,True,True,Chicago,2021-08-31 13:12:44,41.87947235235,Chicago,-87.6256886059,60602,Chicago,Chicago,Wabash Ave & Adams St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,11,4,Chicago,40,True,True,Chicago,2021-08-31 13:08:18,41.87934437346,Chicago,-87.6319852213,60602,Chicago,Chicago,LaSalle St & Adams St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,0,17,Chicago,41,True,True,Chicago,2021-08-31 13:10:22,41.87207763285,Chicago,-87.6295437729,60602,Chicago,Chicago,Federal St & Polk St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,7,4,Chicago,42,True,True,Chicago,2021-08-31 13:12:03,41.852619,Chicago,-87.626488,60602,Chicago,Chicago,Wabash Ave & Cermak Rd,IN_SERVICE,1,IN_SERVICE,False,11
0.0,5,36,Chicago,43,True,True,Chicago,2021-08-31 13:17:59,41.8839840647265,Chicago,-87.6246839761734,60602,Chicago,Chicago,Michigan Ave & Washington St,IN_SERVICE,1,IN_SERVICE,False,43
0.0,8,15,Chicago,44,True,True,Chicago,2021-08-31 13:17:43,41.884678982069246,Chicago,-87.62797504663467,60602,Chicago,Chicago,State St & Randolph St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,1,14,Chicago,45,True,True,Chicago,2021-08-31 13:15:39,41.876243,Chicago,-87.624426,60602,Chicago,Chicago,Michigan Ave & Ida B Wells Dr,IN_SERVICE,1,IN_SERVICE,False,15
0.0,1,17,Chicago,46,True,True,Chicago,2021-08-31 12:56:28,41.89993001,Chicago,-87.63443007,60602,Chicago,Chicago,Wells St & Walton St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,15,16,Chicago,47,True,True,Chicago,2021-08-31 13:10:58,41.889187,Chicago,-87.627754,60602,Chicago,Chicago,State St & Kinzie St,IN_SERVICE,1,IN_SERVICE,False,31
0.0,15,28,Chicago,48,True,True,Chicago,2021-08-31 13:13:12,41.897764,Chicago,-87.642884,60602,Chicago,Chicago,Larrabee St & Kingsbury St,IN_SERVICE,1,IN_SERVICE,False,43
0.0,35,3,Chicago,49,True,True,Chicago,2021-08-31 13:13:40,41.881319815,Chicago,-87.6295209193,60602,Chicago,Chicago,Dearborn St & Monroe St,IN_SERVICE,1,IN_SERVICE,False,39
0.0,8,26,Chicago,50,True,True,Chicago,2021-08-31 11:49:59,41.8759326655,Chicago,-87.6305845355,60602,Chicago,Chicago,Clark St & Ida B Wells Dr,IN_SERVICE,1,IN_SERVICE,False,35
0.0,39,3,Chicago,51,True,True,Chicago,2021-08-31 13:14:08,41.884576228,Chicago,-87.63188991,60602,Chicago,Chicago,Clark St & Randolph St,IN_SERVICE,1,IN_SERVICE,False,43
0.0,21,14,Chicago,52,True,True,Chicago,2021-08-31 13:10:08,41.886024,Chicago,-87.624117,60602,Chicago,Chicago,Michigan Ave & Lake St,IN_SERVICE,1,IN_SERVICE,False,35
0.0,3,24,Chicago,53,True,True,Chicago,2021-08-31 13:06:16,41.894722,Chicago,-87.634362,60602,Chicago,Chicago,Wells St & Huron St,IN_SERVICE,1,IN_SERVICE,False,27
